order_date,product_category,region,quantity,revenue
2023-01-03,Home & Garden,North,1,62.68
2023-01-03,Home & Garden,East,3,179.6
2023-01-03,Sports,South,1,134.79
2023-01-03,Sports,South,3,146.67
2023-01-03,Sports,West,3,23.22
2023-01-03,Sports,South,4,48.28
2023-01-03,Sports,West,1,21.18
2023-01-03,Sports,West,3,117.11
2023-01-03,Sports,North,1,84.11
2023-01-03,Sports,North,2,22.65
2023-01-03,Sports,West,3,72.42
2023-01-03,Sports,West,2,40.78
2023-01-03,Sports,East,1,72.65
2023-01-03,Sports,East,4,50.53
2023-01-03,Beauty,West,3,52.28
2023-01-03,Beauty,West,2,78.16
2023-01-03,Beauty,South,4,86.64
2023-01-03,Beauty,South,1,12.02
2023-01-03,Beauty,North,3,37.31
2023-01-03,Beauty,West,2,53.64
2023-01-03,Beauty,South,4,103.21
2023-01-03,Beauty,West,1,38.29
2023-01-03,Beauty,South,1,19.49
2023-01-03,Beauty,North,2,33.42
2023-01-03,Beauty,North,2,88.67
2023-01-03,Beauty,East,4,48.55
2023-01-03,Beauty,West,4,73.31
2023-01-03,Beauty,South,4,40.9
2023-01-03,Beauty,South,3,39.54
2023-01-03,Beauty,East,4,52.56
2023-01-03,Beauty,South,1,60.61
2023-01-03,Beauty,North,1,18.9
2023-01-04,Electronics,West,3,170.07
2023-01-04,Electronics,West,4,205.05
2023-01-04,Electronics,West,3,103.44
2023-01-04,Electronics,East,1,108.63
2023-01-04,Electronics,West,2,275.82
2023-01-04,Electronics,North,1,161.44
2023-01-04,Electronics,North,2,30.93
2023-01-04,Electronics,South,4,29.15
2023-01-04,Electronics,North,1,123.66
2023-01-04,Electronics,North,4,76.03
2023-01-04,Electronics,South,4,78.72
2023-01-04,Electronics,North,1,122.3
2023-01-04,Electronics,North,1,194.45
2023-01-04,Electronics,South,1,123.02
2023-01-04,Electronics,West,2,193.01
2023-01-04,Electronics,North,3,130.82
2023-01-04,Electronics,North,2,55.64
2023-01-04,Electronics,North,2,158.94
2023-01-04,Electronics,North,1,71.82
2023-01-04,Electronics,West,1,180.94
2023-01-04,Electronics,North,4,149.29
2023-01-04,Electronics,North,2,50.94
2023-01-04,Clothing,North,2,30.61
2023-01-04,Clothing,North,2,86.37
2023-01-04,Clothing,South,2,45.04
2023-01-04,Clothing,East,4,46.88
2023-01-04,Clothing,West,3,123.96
2023-01-04,Clothing,East,1,83.46
2023-01-04,Clothing,South,3,99.35
2023-01-04,Clothing,South,3,75.46
2023-01-04,Clothing,East,3,57.48
2023-01-04,Clothing,South,4,118.93
2023-01-04,Clothing,North,1,62.71
2023-01-04,Clothing,North,1,61.08
2023-01-04,Clothing,North,2,56.8
2023-01-04,Clothing,East,3,52.78
2023-01-04,Clothing,West,1,55.37
2023-01-04,Clothing,South,1,49.42
2023-01-04,Clothing,South,1,36.26
2023-01-04,Clothing,North,1,67.08
2023-01-04,Clothing,West,4,88.92
2023-01-04,Clothing,East,1,56.17
2023-01-04,Clothing,East,3,65.56
2023-01-04,Clothing,West,3,93.11
2023-01-04,Clothing,North,4,46.37
2023-01-04,Clothing,South,2,40.05
2023-01-04,Clothing,South,3,38.89
2023-01-04,Clothing,West,2,62.36
2023-01-04,Clothing,West,4,42.34
2023-01-04,Home & Garden,East,4,37.26
2023-01-04,Home & Garden,East,2,74.52
2023-01-04,Home & Garden,West,3,130.46
2023-01-04,Home & Garden,West,4,150.98
2023-01-04,Home & Garden,North,3,48.15
2023-01-04,Home & Garden,North,2,142.83
2023-01-04,Home & Garden,East,4,173.3
2023-01-04,Home & Garden,South,3,69.88
2023-01-04,Home & Garden,South,2,275.09
2023-01-04,Home & Garden,South,3,117.15
2023-01-04,Home & Garden,South,2,114.02
2023-01-04,Home & Garden,East,2,73.93
2023-01-04,Home & Garden,West,2,41.82
2023-01-04,Home & Garden,North,2,76.66
2023-01-04,Home & Garden,South,1,33.03
2023-01-04,Sports,West,1,74.03
2023-01-04,Sports,North,4,66.36
2023-01-04,Sports,West,2,63.81
2023-01-04,Sports,West,1,63.29
2023-01-04,Sports,North,3,33.7
2023-01-04,Sports,East,1,74.4
2023-01-04,Sports,East,3,11.55
2023-01-04,Sports,South,1,47.27
2023-01-04,Sports,East,2,54.32
2023-01-04,Sports,South,4,39.42
2023-01-04,Sports,West,1,78.2
2023-01-04,Beauty,West,1,29.27
2023-01-04,Beauty,West,1,19.42
2023-01-04,Beauty,South,1,27.1
2023-01-04,Beauty,West,1,29.27
2023-01-04,Beauty,North,3,80.64
2023-01-04,Beauty,West,1,12.56
2023-01-04,Beauty,East,2,43.91
2023-01-04,Beauty,East,2,96.61
2023-01-04,Beauty,North,2,36.48
2023-01-04,Beauty,West,4,51.72
2023-01-04,Beauty,North,4,48.33
2023-01-04,Beauty,North,2,39.42
2023-01-04,Beauty,East,4,46.02
2023-01-04,Beauty,East,3,72.95
2023-01-04,Beauty,West,1,48.96
2023-01-04,Beauty,South,3,51.81
2023-01-04,Beauty,West,1,27.76
2023-01-04,Beauty,West,3,110.98
2023-01-04,Beauty,South,3,86.88
2023-01-04,Beauty,West,3,38.96
2023-01-04,Beauty,South,2,36.01
2023-01-04,Beauty,East,4,42.03
2023-01-04,Beauty,South,3,46.28
2023-01-05,Electronics,East,3,233.31
2023-01-05,Electronics,South,3,172.08
2023-01-05,Electronics,West,4,154.81
2023-01-05,Electronics,West,2,188.26
2023-01-05,Electronics,South,1,117.02
2023-01-05,Electronics,East,3,273.72
2023-01-05,Electronics,East,1,129.91
2023-01-05,Electronics,South,2,146.55
2023-01-05,Electronics,South,3,133.43
2023-01-05,Electronics,North,4,188.43
2023-01-05,Electronics,East,3,191.66
2023-01-05,Electronics,North,4,166.72
2023-01-05,Electronics,North,4,104.7
2023-01-05,Electronics,South,4,76.53
2023-01-05,Electronics,East,2,114.83
2023-01-05,Clothing,East,3,67.71
2023-01-05,Clothing,South,3,45.23
2023-01-05,Clothing,West,3,54.93
2023-01-05,Clothing,North,3,61.1
2023-01-05,Clothing,East,4,41.23
2023-01-05,Clothing,West,4,40.53
2023-01-05,Clothing,South,3,31.92
2023-01-05,Clothing,North,4,58.04
2023-01-05,Clothing,West,2,41.0
2023-01-05,Clothing,West,4,68.62
2023-01-05,Clothing,South,3,58.27
2023-01-05,Clothing,South,3,109.16
2023-01-05,Clothing,South,2,58.53
2023-01-05,Clothing,West,2,108.35
2023-01-05,Clothing,South,1,38.53
2023-01-05,Clothing,North,1,69.21
2023-01-05,Clothing,South,1,49.59
2023-01-05,Clothing,North,4,20.79
2023-01-05,Clothing,West,4,102.36
2023-01-05,Clothing,North,4,107.5
2023-01-05,Clothing,West,2,68.46
2023-01-05,Clothing,West,3,44.13
2023-01-05,Clothing,East,3,76.06
2023-01-05,Clothing,East,4,55.31
2023-01-05,Clothing,East,1,38.27
2023-01-05,Home & Garden,South,2,94.05
2023-01-05,Home & Garden,North,1,125.82
2023-01-05,Home & Garden,West,2,95.19
2023-01-05,Home & Garden,South,4,32.74
2023-01-05,Home & Garden,West,3,110.57
2023-01-05,Home & Garden,North,2,37.51
2023-01-05,Home & Garden,North,2,76.48
2023-01-05,Home & Garden,North,3,87.75
2023-01-05,Home & Garden,West,4,73.53
2023-01-05,Home & Garden,West,3,66.58
2023-01-05,Home & Garden,West,1,69.7
2023-01-05,Home & Garden,West,2,44.19
2023-01-05,Home & Garden,East,3,140.15
2023-01-05,Home & Garden,East,1,75.8
2023-01-05,Home & Garden,South,2,73.56
2023-01-05,Home & Garden,West,3,20.31
2023-01-05,Home & Garden,North,2,103.18
2023-01-05,Home & Garden,South,1,119.82
2023-01-05,Sports,South,1,73.82
2023-01-05,Sports,West,4,68.02
2023-01-05,Sports,North,3,12.11
2023-01-05,Sports,East,2,52.81
2023-01-05,Sports,West,2,36.53
2023-01-05,Sports,North,3,145.62
2023-01-05,Sports,South,3,32.88
2023-01-05,Sports,West,1,36.24
2023-01-05,Sports,South,4,41.92
2023-01-05,Sports,East,2,79.28
2023-01-05,Sports,North,2,40.96
2023-01-05,Sports,East,4,28.24
2023-01-05,Sports,South,1,87.07
2023-01-05,Beauty,North,2,36.0
2023-01-05,Beauty,East,2,99.64
2023-01-05,Beauty,North,2,82.31
2023-01-05,Beauty,North,1,31.67
2023-01-05,Beauty,South,2,28.79
2023-01-05,Beauty,South,2,25.08
2023-01-05,Beauty,West,4,63.52
2023-01-05,Beauty,North,4,27.74
2023-01-05,Beauty,North,2,13.26
2023-01-05,Beauty,West,1,76.97
2023-01-05,Beauty,North,2,50.81
2023-01-05,Beauty,West,2,53.66
2023-01-05,Beauty,North,4,54.58
2023-01-05,Beauty,South,3,21.51
2023-01-05,Beauty,South,4,9.02
2023-01-05,Beauty,South,3,26.45
2023-01-05,Beauty,West,4,56.11
2023-01-05,Beauty,South,3,23.25
2023-01-05,Beauty,West,2,68.18
2023-01-05,Beauty,South,4,13.29
2023-01-05,Beauty,South,2,65.87
2023-01-05,Beauty,South,2,48.16
2023-01-06,Electronics,North,2,134.94
2023-01-06,Electronics,North,4,222.77
2023-01-06,Electronics,South,3,107.97
2023-01-06,Electronics,East,1,85.9
2023-01-06,Electronics,West,3,184.93
2023-01-06,Electronics,East,4,112.45
2023-01-06,Electronics,East,4,139.37
2023-01-06,Electronics,East,2,165.53
2023-01-06,Electronics,South,1,33.16
2023-01-06,Electronics,South,4,142.08
2023-01-06,Electronics,East,4,136.02
2023-01-06,Electronics,West,2,150.26
2023-01-06,Electronics,West,1,34.32
2023-01-06,Electronics,North,4,52.63
2023-01-06,Electronics,South,3,79.29
2023-01-06,Electronics,South,3,23.76
2023-01-06,Electronics,East,3,120.41
2023-01-06,Electronics,South,1,246.73
2023-01-06,Electronics,West,1,69.08
2023-01-06,Clothing,North,1,72.99
2023-01-06,Clothing,East,2,66.61
2023-01-06,Clothing,South,1,35.97
2023-01-06,Clothing,South,3,21.24
2023-01-06,Clothing,North,2,63.94
2023-01-06,Clothing,North,1,79.29
2023-01-06,Clothing,West,1,84.33
2023-01-06,Clothing,East,3,127.74
2023-01-06,Clothing,South,2,175.62
2023-01-06,Clothing,East,1,68.32
2023-01-06,Clothing,North,3,30.4
2023-01-06,Clothing,West,3,36.58
2023-01-06,Clothing,West,4,48.12
2023-01-06,Clothing,North,4,65.85
2023-01-06,Clothing,East,4,44.95
2023-01-06,Clothing,North,4,48.09
2023-01-06,Clothing,North,4,18.75
2023-01-06,Clothing,North,1,66.64
2023-01-06,Clothing,West,3,99.23
2023-01-06,Clothing,West,2,82.53
2023-01-06,Clothing,East,2,54.38
2023-01-06,Clothing,West,1,60.33
2023-01-06,Clothing,South,2,98.4
2023-01-06,Clothing,South,1,50.47
2023-01-06,Clothing,West,3,99.37
2023-01-06,Home & Garden,North,1,50.56
2023-01-06,Home & Garden,West,2,92.62
2023-01-06,Home & Garden,West,3,99.05
2023-01-06,Home & Garden,North,3,31.55
2023-01-06,Home & Garden,North,1,65.88
2023-01-06,Home & Garden,East,2,103.43
2023-01-06,Home & Garden,West,3,73.1
2023-01-06,Home & Garden,West,3,196.43
2023-01-06,Home & Garden,North,2,139.38
2023-01-06,Home & Garden,South,4,118.61
2023-01-06,Home & Garden,North,2,65.41
2023-01-06,Home & Garden,East,1,141.34
2023-01-06,Home & Garden,East,4,109.8
2023-01-06,Sports,North,4,55.59
2023-01-06,Sports,East,1,23.52
2023-01-06,Sports,South,1,50.59
2023-01-06,Sports,North,4,109.68
2023-01-06,Sports,East,3,27.97
2023-01-06,Sports,South,1,74.49
2023-01-06,Sports,North,3,54.51
2023-01-06,Sports,West,3,82.93
2023-01-06,Sports,West,1,127.13
2023-01-06,Sports,East,2,67.35
2023-01-06,Sports,South,3,102.29
2023-01-06,Sports,East,2,80.95
2023-01-06,Sports,North,3,30.03
2023-01-06,Beauty,East,2,43.71
2023-01-06,Beauty,South,3,9.22
2023-01-06,Beauty,North,4,105.02
2023-01-06,Beauty,East,2,90.11
2023-01-06,Beauty,East,1,43.83
2023-01-06,Beauty,South,4,26.19
2023-01-06,Beauty,South,1,48.8
2023-01-06,Beauty,East,4,40.82
2023-01-06,Beauty,West,1,34.14
2023-01-06,Beauty,South,1,21.13
2023-01-06,Beauty,South,2,30.26
2023-01-06,Beauty,South,2,48.85
2023-01-06,Beauty,South,1,10.49
2023-01-06,Beauty,South,1,44.23
2023-01-06,Beauty,North,4,63.79
2023-01-06,Beauty,South,2,46.01
2023-01-07,Electronics,South,2,124.62
2023-01-07,Electronics,South,3,243.17
2023-01-07,Electronics,East,2,187.07
2023-01-07,Electronics,North,4,221.07
2023-01-07,Electronics,West,1,79.6
2023-01-07,Electronics,West,1,81.07
2023-01-07,Electronics,South,3,207.4
2023-01-07,Electronics,South,2,260.95
2023-01-07,Electronics,North,1,87.65
2023-01-07,Electronics,West,3,52.97
2023-01-07,Electronics,East,1,113.08
2023-01-07,Clothing,South,4,80.4
2023-01-07,Clothing,East,2,44.56
2023-01-07,Clothing,South,4,28.24
2023-01-07,Clothing,South,1,27.94
2023-01-07,Clothing,West,4,20.88
2023-01-07,Clothing,West,3,65.51
2023-01-07,Clothing,East,3,26.17
2023-01-07,Clothing,North,1,12.79
2023-01-07,Clothing,North,4,50.8
2023-01-07,Clothing,South,1,51.73
2023-01-07,Clothing,South,3,86.91
2023-01-07,Clothing,East,3,24.05
2023-01-07,Clothing,South,1,36.65
2023-01-07,Clothing,North,1,64.85
2023-01-07,Clothing,North,4,29.73
2023-01-07,Clothing,North,1,100.07
2023-01-07,Home & Garden,West,1,94.72
2023-01-07,Home & Garden,South,3,59.69
2023-01-07,Home & Garden,West,1,71.83
2023-01-07,Home & Garden,West,2,95.82
2023-01-07,Home & Garden,North,1,86.6
2023-01-07,Home & Garden,North,1,75.25
2023-01-07,Home & Garden,West,1,81.09
2023-01-07,Home & Garden,West,4,152.91
2023-01-07,Home & Garden,West,3,35.89
2023-01-07,Home & Garden,West,1,72.8
2023-01-07,Home & Garden,West,1,24.42
2023-01-07,Home & Garden,West,1,65.91
2023-01-07,Home & Garden,North,4,14.31
2023-01-07,Sports,South,4,60.35
2023-01-07,Sports,North,4,43.68
2023-01-07,Sports,East,2,84.01
2023-01-07,Sports,West,2,24.72
2023-01-07,Sports,West,1,92.95
2023-01-07,Sports,South,3,33.97
2023-01-07,Sports,South,3,113.13
2023-01-07,Sports,West,3,64.34
2023-01-07,Beauty,South,4,15.54
2023-01-07,Beauty,East,1,36.6
2023-01-07,Beauty,North,4,49.69
2023-01-07,Beauty,East,2,16.66
2023-01-07,Beauty,South,2,73.9
2023-01-07,Beauty,South,4,30.76
2023-01-07,Beauty,East,2,63.16
2023-01-07,Beauty,East,1,38.06
2023-01-07,Beauty,East,3,45.29
2023-01-07,Beauty,North,4,32.06
2023-01-07,Beauty,East,2,45.87
2023-01-07,Beauty,East,4,44.45
2023-01-07,Beauty,East,1,97.48
2023-01-08,Electronics,South,1,126.3
2023-01-08,Electronics,West,2,189.22
2023-01-08,Electronics,South,4,147.07
2023-01-08,Electronics,North,1,186.15
2023-01-08,Electronics,West,1,59.69
2023-01-08,Electronics,West,3,235.83
2023-01-08,Electronics,East,1,103.09
2023-01-08,Electronics,East,2,131.33
2023-01-08,Electronics,South,3,57.88
2023-01-08,Electronics,West,2,60.91
2023-01-08,Electronics,North,4,145.93
2023-01-08,Electronics,East,4,177.52
2023-01-08,Electronics,West,4,89.21
2023-01-08,Electronics,East,2,105.33
2023-01-08,Clothing,South,1,38.29
2023-01-08,Clothing,East,2,75.25
2023-01-08,Clothing,East,2,30.45
2023-01-08,Clothing,North,3,35.62
2023-01-08,Clothing,North,2,30.04
2023-01-08,Clothing,East,4,83.07
2023-01-08,Clothing,South,4,43.11
2023-01-08,Clothing,West,3,120.23
2023-01-08,Clothing,East,3,24.72
2023-01-08,Clothing,East,2,108.81
2023-01-08,Clothing,West,4,77.36
2023-01-08,Clothing,North,2,20.81
2023-01-08,Clothing,South,3,19.83
2023-01-08,Clothing,North,3,46.9
2023-01-08,Clothing,West,1,46.21
2023-01-08,Clothing,South,1,43.31
2023-01-08,Home & Garden,North,1,58.85
2023-01-08,Home & Garden,West,1,93.34
2023-01-08,Home & Garden,South,2,20.78
2023-01-08,Home & Garden,West,4,80.2
2023-01-08,Home & Garden,East,2,115.38
2023-01-08,Home & Garden,West,3,131.03
2023-01-08,Home & Garden,West,1,102.48
2023-01-08,Home & Garden,West,3,44.72
2023-01-08,Home & Garden,East,3,75.7
2023-01-08,Sports,South,2,67.29
2023-01-08,Sports,South,2,127.79
2023-01-08,Sports,West,3,64.66
2023-01-08,Sports,West,1,29.57
2023-01-08,Sports,South,4,33.58
2023-01-08,Sports,South,4,45.07
2023-01-08,Sports,East,4,89.6
2023-01-08,Sports,North,1,58.79
2023-01-08,Sports,South,3,27.87
2023-01-08,Beauty,North,1,67.61
2023-01-08,Beauty,East,2,36.98
2023-01-08,Beauty,East,4,46.62
2023-01-08,Beauty,West,4,29.41
2023-01-08,Beauty,South,4,13.09
2023-01-08,Beauty,North,3,80.36
2023-01-08,Beauty,North,2,80.25
2023-01-08,Beauty,East,1,11.37
2023-01-08,Beauty,East,1,45.79
2023-01-08,Beauty,East,3,67.62
2023-01-08,Beauty,North,4,10.07
2023-01-08,Beauty,North,1,16.08
2023-01-08,Beauty,North,2,22.19
2023-01-08,Beauty,West,2,55.76
2023-01-08,Beauty,West,4,21.0
2023-01-08,Beauty,West,1,32.0
2023-01-09,Electronics,East,1,181.45
2023-01-09,Electronics,East,3,14.26
2023-01-09,Electronics,North,3,116.21
2023-01-09,Electronics,South,3,225.7
2023-01-09,Electronics,West,4,133.87
2023-01-09,Electronics,North,4,76.79
2023-01-09,Electronics,West,3,47.41
2023-01-09,Electronics,West,4,253.42
2023-01-09,Electronics,North,4,135.42
2023-01-09,Electronics,South,1,87.79
2023-01-09,Electronics,North,3,66.98
2023-01-09,Electronics,South,4,44.52
2023-01-09,Electronics,West,4,84.13
2023-01-09,Electronics,West,1,156.22
2023-01-09,Electronics,South,1,153.88
2023-01-09,Electronics,North,1,68.11
2023-01-09,Electronics,North,2,149.97
2023-01-09,Electronics,North,1,121.5
2023-01-09,Electronics,South,1,155.68
2023-01-09,Clothing,North,2,48.61
2023-01-09,Clothing,East,2,119.8
2023-01-09,Clothing,North,2,16.61
2023-01-09,Clothing,West,4,70.42
2023-01-09,Clothing,East,1,56.02
2023-01-09,Clothing,South,4,47.19
2023-01-09,Clothing,West,1,35.02
2023-01-09,Clothing,East,4,72.36
2023-01-09,Clothing,West,4,57.69
2023-01-09,Clothing,West,4,52.53
2023-01-09,Clothing,East,4,43.11
2023-01-09,Clothing,West,1,62.69
2023-01-09,Clothing,West,1,52.45
2023-01-09,Clothing,West,1,75.16
2023-01-09,Clothing,North,1,76.34
2023-01-09,Clothing,East,4,114.74
2023-01-09,Clothing,West,1,38.21
2023-01-09,Clothing,South,4,55.54
2023-01-09,Clothing,South,1,53.14
2023-01-09,Clothing,South,4,73.04
2023-01-09,Clothing,North,1,42.47
2023-01-09,Clothing,South,2,76.37
2023-01-09,Clothing,North,2,79.17
2023-01-09,Clothing,South,3,31.18
2023-01-09,Clothing,South,2,76.39
2023-01-09,Clothing,East,1,24.19
2023-01-09,Home & Garden,North,3,77.49
2023-01-09,Home & Garden,North,4,35.8
2023-01-09,Home & Garden,West,4,88.48
2023-01-09,Home & Garden,East,2,23.61
2023-01-09,Home & Garden,North,3,30.77
2023-01-09,Home & Garden,North,4,89.05
2023-01-09,Home & Garden,West,1,117.08
2023-01-09,Home & Garden,North,4,66.22
2023-01-09,Home & Garden,North,4,20.72
2023-01-09,Home & Garden,South,4,53.6
2023-01-09,Home & Garden,South,2,75.58
2023-01-09,Home & Garden,North,1,90.26
2023-01-09,Home & Garden,West,2,79.74
2023-01-09,Home & Garden,South,4,69.9
2023-01-09,Home & Garden,West,3,92.95
2023-01-09,Home & Garden,West,1,78.67
2023-01-09,Sports,North,2,98.21
